name,country,city,univ_image,r1,s1,e1,r2,s2,e2,r3,s3,e3,r4,s4,e4,r5,s5,e5,sem1_temp_mean,sem1_rain_mean,sem1_period,sem2_temp_mean,sem2_rain_mean,sem2_period,domi,per_domi,travel_idx,title1,image1,title2,image2,title3,image3,trip_link,living_idx,crime_idx,language,inter_stu_ratio,bus,train,gvi_idx,sdg_idx,one_year,gpa,TOEFL,IELTS,etc,uniq,hashtag1,hashtag2,hashtag3,여행지1,여행지2
University of Sussex,United Kingdom,Brighton,https://drive.google.com/uc?id=1-FS_Is4XivNxAzYauva0wUL2k6W5rSUu,223,66.8,1,,,1,401-450,55,1,401-450,55,1,401-450,55,1,9.075,54.5,2-5,10.6125,84.35,9-12,1,0,66.66,1. Royal Pavilion,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/8b/1d/ff/royal-pavilion.jpg?w=500&h=400&s=1,2. The Lanes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/03/53/0a/20160917-185407-largejpg.jpg?w=500&h=400&s=1,3. British Airways i360,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/62/32/f1/photo4jpg.jpg?w=500&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g186273-Brighton_East_Sussex_England-Vacations.html,3,2,English,0.374,1,1,86,81.00,0,3.0,,6.5,,A,시간표 확정 전까지 수업시간을 알 수 없어요,수강신청 정정이 오래 걸려요,해안도시로 바다에 가기 좋아요,코츠월드,Lake District
Simon Fraser University,Canada,Burnaby,https://drive.google.com/uc?id=1wKTs0HsbiVn9WpRBpuCx_vZGqsOD4RUc,242,66.2,1,390,64.5,1,401-450,55,1,363,64.3,1,285,65.3,1,5.9625,118.75,1-4,8.55,130.7,9-12,1,1,27.94,1. Burnaby Village Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/a1/bd/f0/historic-architecture.jpg?w=500&h=400&s=1,2. Burnaby Mountain Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ac/35/bc/aaa-009-largejpg.jpg?w=500&h=-1&s=1,3. Deer Lake Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/d0/ff/b2/metrotown.jpg?w=500&h=400&s=1,tripadvisor.co.kr/Tourism-g181793-Burnaby_British_Columbia-Vacations.html,2,1,English,0.31,1,1,97,73.00,0,2.8,88,6.5,,A,교통비를 지원해주니 U-Pass를 꼭 구입하세요,다양한 동아리가 많아요,교환학생을 위한 프로그램이 많아요,,
"SOAS, University of London",United Kingdom,London,https://drive.google.com/uc?id=1_CkD2JorAHSyXSsVdIJ0klvBFKhlNGyX,67,76.6,1,,,0,,,0,,,0,245,66.9,1,9.916667,41.76667,1-6,10.575,54.5,9-12,1,0,62.47,1. 런던 타워,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c0/dc/f8/tower-of-london-white.jpg?w=500&h=-1&s=1&cx=2515&cy=1577&chk=v1_1e1764bee68456e4ca27,2. 타워 브리지,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/8d/60/eb/tower-bridge.jpg?w=500&h=400&s=1,3. 처칠 전쟁 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/6c/3c/ec/cabinet-war-room.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g186338-London_England-Vacations.html,4,4,English,0.54,1,1,86,81.00,0,3.3,,6.5,,A,학교안에 펍이 있어요,한국회라는 한국문화동아리가 있어요,한학기 파견학생은 제한적인 수강과목이 많아요,세븐시스터즈,
Mcgill University,Canada,Montreal,https://drive.google.com/uc?id=1AR_gSI4wGGcYfsVTHscm1syCbCVA8eFa,37,80.9,1,53,81.4,1,53,81.4,1,63,79.7,1,43,78.7,1,-1.48,79.88,1-5,6.13,93.74,8-12,1,0,9.96,1. 마운트 로얄,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/19/02/fe/photo1jpg.jpg?w=500&h=400&s=1,2. Old Montreal,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/d6/db/39/city-hall.jpg?w=500&h=-1&s=1,3.  노트르담 성당 (바질리키 노트르 - 담),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4f/cf/de/interior-from-the-main.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g155032-Montreal_Quebec-Vacations.html,1,1,English,0.317,1,1,97,73.00,0,3.5,90,6.5,,A,몬트리올 시내 한가운데에 있어 교통이 편리해요,캐나다 내에서 3위에 해당하는 명문 대학교에요,불어를 굉장히 많이 사용해요,쿠바,옐로 나이프
Universidad de Navarra,Spain,Pamplona,https://drive.google.com/uc?id=12K7uYSzh4V9xj6K4hy3_jOdekXnNdl1H,216,67,1,401-450,55,1,297,63.3,1,,,1,59,76.9,1,9.44,59.46,1-5,12.0125,64.75,9-12,0,0,43.77,1. Catedral de Pamplona,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/18/ac/0e/20180809-150507-largejpg.jpg?w=500&h=400&s=1,2. Plaza del Castillo,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/74/f6/ad/vista-de-la-pergola.jpg?w=500&h=400&s=1,3. Monumento al Encierro,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/f0/fa/85/seitenansicht.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g187520-Pamplona_Navarra-Vacations.html,1,4,"English, Spanish",0.26,1,0,92,79.00,0,2.8,79,6.0,스페인어 B2,C,공식적인 기숙사가 없어요,행정처리가 빨라요,교환학생 비율이 높아요,,
Monash University,Australia,Melbourne,https://drive.google.com/uc?id=1XNOdmMJmdMMS23vYXUl2aHNGMKb7OMFA,42,80.1,1,29,82.6,1,33,82.1,1,55,80.3,1,29,81.9,1,16.43,44.76,2-6,14.675,55.5,7-12,1,1,17.02,1. Central park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/85/0c/6a/oval.jpg?w=500&h=-1&s=1,2. Gardiner's Creek Trail,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/45/26/a8/gardiners-creek-trail.jpg?w=500&h=400&s=1,3. Hedgeley Dene Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/19/4a/97/one-of-the-best-gardens.jpg?w=500&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g1009368-Malvern_Stonnington_Greater_Melbourne_Victoria-Vacations.html,3,3,English ,0.455,1,0,71,66.00,1,3.4,79,6.5,,,수강신청은 원하는 것을 거의다 들을 수 있어요,방송수업의 장비가 너무좋아 추천해요,학교 근처에는 할게 별로 없어요,뉴질랜드,퍼핑벨리
University of Tours,France,Tours,https://drive.google.com/uc?id=1q-IL0iJGEL_gMDx4X5QWGB4rkmaPv_xv,,,1,,,1,,,1,,,1,,,1,11.3,59.26,2-6,11.2625,82.125,9-12,1,1,7.52,1. Cathédrale Saint-Gatien,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/84/69/6d/vue-du-musee-des-arts.jpg?w=500&h=400&s=1,2. Place Plumereau,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/f1/ab/22/le-soir-un-endroit-reposant.jpg?w=500&h=400&s=1,3. Musee du Compagnonnage,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/77/94/a1/musee-du-compagnonnage.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g187130-Tours_Indre_et_Loire_Centre_Val_de_Loire-Vacations.html,2,4,"French, English",,1,1,73,83.00,0,2.8,85,6.0,프랑스어 B2,C,프랑스 억양이 가장 아름답고 정확한 도시에요,1대1로 언어를 서로 가르치는 프로그램이 존재해요,스포츠 수업을 자유롭게 듣는 프로그램이 존재해요,,
University of Mannheim,Germany,Mannheim,https://drive.google.com/uc?id=1AmWbwhvhOQTjbhjEOZlaGBzwh2hzzmN2,,,1,,,0,,,0,,,0,115,72.3,1,9.72,49.66,2-6,8.125,53.025,9-12,1,1,32.52,1. 만하임 루이제파크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/ef/97/9b/img-20190615-182529-largejpg.jpg?w=500&h=-1&s=1,2. Mannheimer Wasserturm,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/cf/d3/8d/mannheimer-wasserturm.jpg?w=500&h=400&s=1,3. Kunsthalle Mannheim,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/45/68/62/hg-esch.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g187290-Mannheim_Baden_Wurttemberg-Vacations.html,2,3,"English, German",0.248,1,1,78,86.00,0,2.8,80,6.0,독일어 B2,C,수강신청 방법이 단과대별로 달라요,스포츠 프로그램이 잘되어있어요,성을 캠퍼스로 사용해요,하이델베르크,스트라스부르
Erasmus University Rotterdam,Netherlands,Rotterdam,https://drive.google.com/uc?id=1OqoK9gc1uoHRYWWKjJGSlKsRqMUsCj-b,274,65.2,1,,,0,,,0,,,0,36,80.3,1,7.3875,47.9,2-5,8.9,82.775,9-12,1,1,81.63,1. Markthal,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/ab/8e/8a/markthal-rotterdam.jpg?w=500&h=400&s=1,2. Rotterdam Zoo,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/e5/64/ac/blijdot-op-14-mei-2015.jpg?w=500&h=400&s=1,3. Rotterdam Centraal Station,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/98/43/f8/bird-view-updated-largejpg.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g188632-Rotterdam_South_Holland_Province-Vacations.html,2,2,English,0.22,1,0,63,79.00,0,2.8,90,6.5,,"A, B",교통비가 비싸요,수강신청이 선착순이 아니라 여유로워요,자전거 시스템이 발달되어있어요,벨기에,독일
The University of Sheffield,United Kingdom,Sheffield,https://drive.google.com/uc?id=1Eplso1FkvIzSHo9qaepQDZLrr6qT0HpR,106,73.7,1,110,75.7,1,142,71.1,1,182,71.9,1,167,70.1,1,8.62,58.16,2-6,16.44,72.78,9-1,1,1,98.15,1. Sheffield Botanical Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/45/73/cc/flowers.jpg?w=500&h=400&s=1,2. Sheffield Winter Garden,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ec/f9/89/photo0jpg.jpg?w=500&h=-1&s=1,3. Graves Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/35/ba/43/graves-park.jpg?w=500&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g186364-Sheffield_South_Yorkshire_England-Vacations.html,1,3,English,0.38,1,1,86,81.00,0,3.4,,6.0,,"A, B","매 주말 당일치기로 영국 곳곳을 여행가는 프로그램, 원데이 클래스 진행등을 하는 프로그램이 있어요(Give it a Go)",학교에 한국어 학과가 존재해 동아시아에 관심이 많은 학생이 존재해요,도서관이 크고 24시간 운영이라 잠들지 않는 도서관으로 유명해요,Peak District,
University of Maryland,United States,Washington,https://drive.google.com/uc?id=15T_Y_cNxeXC4XzzDcyFVCCqyJQqnG9eA,161,70,1,129,74.7,1,253,65.3,1,71,78.8,1,149,70.7,1,11.15,88.86,1-5,16.94,90.52,8-12,1,0,7.85,1. 국립 자연사 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/a1/d9/e4/photo2jpg.jpg?w=500&h=400&s=1,2. National Museum of African American History and Culture,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/5b/18/01/national-museum-of-african.jpg?w=500&h=400&s=1,3. 워싱턴 국회 의사당,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/6f/f4/e9/filename-captial-jpg.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g28970-Washington_DC_District_of_Columbia-Vacations.html,3,4,English,0.11,1,1,92,63.00,0,3.5,90,6.5,,A,교환학생은 수강신청에 불리해요,체육시설이 커요,국제교류팀에서 여러가지 프로그램을 진행해요,자메이카,필라델피아
University of Kent,United Kingdom,Canterbury,https://drive.google.com/uc?id=1mXr7WgbXLvkom6wYRdQYnqjlUXS3VDnx,280,65.1,1,,,1,,,1,,,1,310,64.4,1,9.916667,41.76667,1-6,10.575,54.5,9-12,1,1,95.35,1. Canterbury Cathedral,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/95/06/9b/canterbury-cathedral.jpg?w=500&h=400&s=1,2. Howletts Wild Animal Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/8a/d0/29/howletts-wild-animal.jpg?w=500&h=-1&s=1,3. Westgate Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/67/08/f4/photo0jpg.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g186311-Canterbury_Kent_England-Vacations.html,2,4,English,0.298,1,1,86,81.00,0,3.3,,6.5,,A,수강신청을 이메일로 진행해요,"동아리, Society가 잘 구축되어있어요",들어가고 싶다면 기숙사는 무조건 들어갈 수 있었어요,켄터베리,
The University of Hong Kong,Hong Kong SAR,Hong Kong SAR,https://drive.google.com/uc?id=1TpAX3fH9aHchCqloCqyIpENgSuArElla,20,84.8,1,39,82.6,1,49,79.5,1,57,80.1,1,19,83.9,1,20.75,118.2,1-5,23.75,127.45,9-12,1,1,48.32,1. 빅 부다,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/1f/8a/27/gottinen-bringen-dem.jpg?w=500&h=400&s=1,2. 빅토리아 피크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/c9/50/88/photo3jpg.jpg?w=500&h=-1&s=1,3. 스타 페리,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/8f/59/20/star-ferry.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g294217-Hong_Kong-Vacations.html,3,1,English,0.43,1,1,,56.00,0,3.5,93,6.5,,,홍콩에서 제일 우수한 학교중 하나로 학구열이 엄청나요,학교가 학생수에 비해 좁아 계단등 이동시에 불편할 수 있어요,행정처리가 느린 편이에요,마카오,
Universidad de Lima,Peru,Lima,https://drive.google.com/uc?id=1K_TAxfmFXXFtH72uGqSqs4iRKL2C-g0K,,,0,,,1,,,0,,,0,,,1,18.55,0.175,4-7,18.13,1.24,8-12,0,0,58.94,1. 라르코 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4f/c6/a5/fachada-del-museo-larco.jpg?w=500&h=400&s=1,2. 미라플로레스,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/6b/7a/3a/miraflores.jpg?w=500&h=400&s=1,3. Circuito Magico Del Agua,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/1b/a9/28/photo0jpg.jpg?w=500&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g294316-Lima_Lima_Region-Vacations.html,1,4,Spanish,,0,0,84,55.00,0,3.4,,,DELE or LPR B2,C,3월 한달간 교환학생을 위한 스페인어 및 페루 문화 수업이 열려요,치안이 좋지는 않지만 경비원이 계속 상주해요,학교에 보건실이 있어요,아레키파,
University of Pittsburgh,United States,Pittsburgh,https://drive.google.com/uc?id=1YrfRZ-3nbqG0GSyBvv6hEgQOkrw06lrX,151,70.5,1,324,66.5,1,77,76.1,1,262,67.8,1,293,65,1,3.325,74.025,1-4,11.76,79.52,8-12,1,1,83.21,1. Phipps Conservatory and Botanical Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/67/c6/e1/one-of-the-most-formal.jpg?w=500&h=400&s=1,2. Mount Washington,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/be/54/e4/mount-washington.jpg?w=500&h=400&s=1,3. PNC Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/49/e1/73/photo0jpg.jpg?w=500&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g53449-Pittsburgh_Pennsylvania-Vacations.html,3,2,English,0.12,1,0,92,63.00,0,3.4,80,6.5,,D,K-pop 댄스 동아리가 있어요,"여행다니기좋은 위치에요(캐나다,쿠바,뉴욕 등)",현지날씨가 매우 변덕스러워요,시카고,토론토
Waseda University,Japan,Tokyo,https://drive.google.com/uc?id=133FGVN9XxOyQWLrU5V5fvknZI1IPHzgV,61,77.8,1,199,71.6,1,,,0,234,69.3,1,97,73.4,1,22.38333,160.2667,4-9,12.95833,109.9333,9-2,1,1,69.66,1. Meiji Jingu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/30/73/a4/photo3jpg.jpg?w=500&h=-1&s=1,2. 신주쿠 교 엔,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/62/93/a0/caption.jpg?w=500&h=-1&s=1,3. 요미우리 랜드,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/6d/00/b1/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Attractions-g298184-Activities-Tokyo_Tokyo_Prefecture_Kanto.html,4,1,"Japanese, English",0.12,1,1,86,78.00,1,3.4,80,6.5,JLPT N1,"B, C",유명인이 찾아오는 외부 초청강의가 자주 열립니다,동아리가 발달되어있으나 2학기 진입은 다소 어려워요,국제지향적인 학교라 국제학생에게 우호적인 분위기에요,,
Lund University,Sweden,Lund,https://drive.google.com/uc?id=1iLor9zswRBSD7CdKQRulAQeXHaLD7Yla,135,71.5,1,113,75.6,1,65,77.3,1,86,77.7,1,112,72.4,1,5.666667,41.66667,1-6,12.5,50.4,9-1,1,0,41.59,1. 룬드 성당,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/11/2e/1a/lund-cathedral.jpg?w=500&h=400&s=1,2. Kulturen in Lund - Museum of Cultural History and Open-Air Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/0b/98/b9/img-20160921-144846-largejpg.jpg?w=500&h=-1&s=1,3. Botanical Gardens (Botaniska Tradgarden),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/05/4a/27/botanical-gardens-botaniska.jpg?w=500&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g189838-Lund_Skane_County-Vacations.html,3,2,English,0.19,1,0,81,95.00,0,2.8,90,6.5,,,lund 지역내에서 운영하는 언어교환 카페가 있어요,nation이라는 친목동아리 가입을 추천해요,휴식공간과 도서관이 쾌적하게 조성되어있어요,,
Leiden University,Netherlands,Leiden,https://drive.google.com/uc?id=1aANJ9baxxxfq8boVlb1tdG-gvXTYjQ65,31,81.9,1,313,66.9,1,75,76.4,1,136,74.6,1,92,73.6,1,8.87,51.82,2-6,15.03,69.62,9-1,1,1,10.78,1. National Museum of Antiquities (Rijksmuseum van Oudheden),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/62/d3/d8/photo1jpg.jpg?w=500&h=-1&s=1,2. Botanical Gardens (Hortus Botanicus),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/bd/f1/44/hortus-botanicus-leiden.jpg?w=500&h=-1&s=1,3. Museum Volkenkunde,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/9c/de/c4/20171228-162505-largejpg.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Attractions-g188630-Activities-Leiden_South_Holland_Province.html,3,1,English,0.19,1,1,63,79.00,0,3.6,90,6.5,,,기숙사가 선착순 마감이라 빨리 신청해야해요,교환학생 동아리에서 같이 활동하는 프로그램이 활발해요,자전거를 빌리는 것을 추천해요,Katwijk,Arnhem
University of Queensland,Australia,Brisbane,https://drive.google.com/uc?id=1QqHJK3r64Z4O28xsXa7W2xqeM_c-aimw,86,74.9,1,73,78.8,1,31,82.5,1,90,77.4,1,45,78.3,1,20.6125,76.625,3-6,19.54,54.56667,7-11,1,1,36.35,1. 론 파인 코알라 보호 구역,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/74/e0/b3/snuggle-with-one-of-the.jpg?w=500&h=400&s=1,2. Cairns Esplanade Lagoon,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/fb/44/4e/photo0jpg.jpg?w=500&h=-1&s=1,3. Tamborine Mountain,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/87/a9/eb/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g255067-Queensland-Vacations.html,3,2,English,0.41,1,0,71,66.00,1,,,,,,강한 영국식 발음 교수님들이 존재해요,한인 동아리가 존재해요,언어교환 프로그램이 존재해요,케언즈,사우스뱅크
University of Copenhagen,Denmark,Copenhagen,https://drive.google.com/uc?id=14rO8QwMyz7ZS98PHQeAUTNP61zmmU2W-,63,77.2,1,222,70.7,1,222,70.7,1,60,79.9,1,84,74.2,1,6.8,35.6,2-6,11.2,43.2,9-1,1,1,96.34,1. 니하운,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/84/56/8c/psx-20181117-220826-largejpg.jpg?w=500&h=-1&s=1,2. 티볼리 가든,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/07/19/ac/tivoli.jpg?w=500&h=-1&s=1,3.  로젠보르크 성,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/f5/32/e5/side-view-of-the-castle.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g189541-Copenhagen_Zealand-Vacations.html,4,1,English,0.18,1,0,52,97.00,0,2.8,80,6.0,,,학교 카페테리아가 저렴해 자주 이용했어요,덴마크 사회에 대해 배우는 DCC수업이 좋았어요,자전거로 다니기 좋아요,빌룬,푄섬
National Taiwan University,Taiwan,Taipei City,https://drive.google.com/uc?id=1CItSRZklFqnVgRrvSoeMZrlY-lsV3ySc,75,75.9,1,51,81.5,1,72,76.7,1,58,80,1,61,76.7,1,21.24,195.6,2-6,31.65,114.2,9-1,1,1,75.33,1. 후로 국제 모래 조각 대회,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/3f/89/a6/caption.jpg?w=500&h=-1&s=1,2. Miniatures Museum of Taiwan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ad/69/b9/miniatures-museum-of.jpg?w=500&h=400&s=1,3. 장개석 기념관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/82/ee/be/national-concert-hall.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Attractions-g293913-Activities-Taipei.html,1,1,"Chinese, English",0.12,1,1,100,,1,3.4,79,6.0,HSK 4급,C,동아리 종류가 엄청 많아요,캠퍼스가 넓고 웬만한 시설은 다 있어요,수강신청은 100% 추첨을 통해 이루어져요,,
Victoria University of Wellington,New Zealand,Wellington,https://drive.google.com/uc?id=1OL5DZMP_QuGE2elac7gc7xyClskkbH0t,76,75.6,1,372,65,1,,,1,340,65.2,1,166,70.2,1,14.42,76.64,2-6,11.75,91.81667,7-11,1,1,60.62,1. 뉴질랜드 박물관 (테파파),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/be/32/36/museum-of-new-zealand.jpg?w=1000&h=-1&s=1,2. 질랜디아: 카오리 보호구 체험,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/81/b3/c7/zealandia-formerly-known.jpg?w=1000&h=800&s=1,3. 빅토리아 산,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/9f/3c/7d/img-20171229-151333-largejpg.jpg?w=1000&h=800&s=1,https://www.tripadvisor.co.kr/Tourism-g255105-North_Island-Vacations.html,2,1,English,0.22,1,0,,74.00,1,2.8,80,6.0,,A,"동아리, 버디 프로그램등 교환학생용 프로그램이 많아요",대중교통이 발전되진 않아 국제운전면허 소지를 추천해요,커피로 유명한 도시에요,호주,
Renmin University,China,Beijing,https://drive.google.com/uc?id=1MYjF8AgX8tcAT1PT2ScThalrO67t7zAO,186,68.6,1,,,1,,,0,,,0,141,71.2,1,12.3,28.2,2-7,10.60833,43.33333,8-1,1,1,55.05,1. 만리장성,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e4/10/e4/it-was-an-amazing-experience.jpg?w=500&h=400&s=1,2. 고궁 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/ef/6b/11/canale.jpg?w=500&h=-1&s=1,3. 이화원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/d8/a4/19/the-palace-and-walkway.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g294212-Beijing-Vacations.html,1,2,,0.06,1,1,,56.00,0,3.5,80,6.0,신HSK 6급,C,동아리가 체계적이지 못해요,버디프로그램이 원할하지 못해요,타 대학에 비하면 규모가 작아요,내몽고,우시
University of Warsaw,Poland,Warsaw,https://drive.google.com/uc?id=1zm7gBTZRIXPN0e3Bb1Dmyg7eRfBRzWjQ,126,72.2,1,199,71.6,1,451-500,50,1,157,73.3,1,254,66.5,1,8.38,42.92,2-6,5.8,13.8143,10-2,1,0,98.85,1. 와지엔키 공원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/da/8c/e1/palace-on-the-isle.jpg?w=500&h=400&s=1,2. Old Town,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/db/72/f1/photo0jpg.jpg?w=500&h=-1&s=1,3. POLIN Muzeum Historii Żydów Polskich,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/8e/b0/47/museum-of-the-history.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Attractions-g274856-Activities-Warsaw_Mazovia_Province_Central_Poland.html,1,1,"Polish, English",0.1,1,1,78,81.00,0,2.8,80,6.0,,,물가가 굉장히 싸요,영어를 못하는 시민분들이 많아요,동아리가 없어요,맨체스터,
Tec de Monterrey,Mexico,Monterrey,https://drive.google.com/uc?id=1aXknV5ckcmXxJppZlksNhvHI5kazh5sG,216,67,1,139,74.3,1,451-500,50,1,,,1,77,74.8,1,23.1,42.16,2-6,22.03,70.44,8-12,1,1,79.32,1. 에코로히코 치핀케 공원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/40/ef/aa/chipinque-seen-from-san.jpg?w=500&h=-1&s=1,2. Grutas de Garcia,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/b7/cc/eb/the-devil-s-hand.jpg?w=500&h=400&s=1,3. Paseo de Santa Lucia,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/17/77/71/photo6jpg.jpg?w=500&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g150782-Monterrey_Northern_Mexico-Vacations.html,1,4,"Spanish, English",,1,0,89,50.00,0,3.3,80,6.5,CEFR or DELE or LPR B2,C,수강신청 전에 스페인어 시험을 봐요,학교시설이 좋아요,인종차별 경험이 많아요,유우니 사막,아르헨티나
Witten/Herdecke University,Germany,Witten,https://drive.google.com/uc?id=1gOvhqScdwknU9bQ13iDsFlQg8CitJQFy,,,1,,,0,,,0,,,0,,,1,14.76667,77.33333,4-9,8.3,12.0429,10-3,0,0,17.84,1. LWL-Industriemuseum Zeche Nachtigall,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/ca/65/47/zeche-nachtigall.jpg?w=1000&h=-1&s=1,2. Burg Hardenstein,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/4d/54/66/burgruine-hardenstein.jpg?w=1000&h=-1&s=1,3. Berger-Denkmal,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/c3/56/59/ausblick.jpg?w=1000&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g642090-Witten_North_Rhine_Westphalia-Vacations.html,2,3,"English, German",,1,0,78,86.00,0,2.8,80,6.0,독일어 B1,C,규모가 굉장히 작아요,수업듣는 건물이 하나에요,소수인원 세미나 형식 강의에요,뒤셀도르프,쾰른
